brand,model,year,km,transmission,drivetrain,body,price,car_age,km_per_year
BMW,3 Series,2022,70363.0,Автомат,Передний,Хэтчбек,2127521,4,17591
Volkswagen,Golf,2015,232013.0,Механика,Передний,Седан,319979,11,21092
Kia,Optima,2008,287421.0,Автомат,Передний,Хэтчбек,290987,18,15968
BMW,X3,2023,22040.0,Автомат,Передний,Седан,2329675,3,7347
BMW,X3,2010,266688.0,Автомат,Передний,Кроссовер,341906,16,16668
Kia,Sportage,2016,183298.0,Автомат,Передний,Хэтчбек,316493,10,18330
BMW,3 Series,2015,201191.0,Автомат,Полный,Седан,547010,11,18290
Volkswagen,Passat,2019,70816.0,Робот,Полный,Седан,908233,7,10117
BMW,3 Series,2015,185820.0,Автомат,Полный,Кроссовер,551150,11,16893
BMW,3 Series,2016,176367.0,Автомат,Передний,Кроссовер,854589,10,17637
Hyundai,Santa Fe,2015,210363.0,Механика,Передний,Хэтчбек,313596,11,19124
BMW,X5,2016,187251.0,Механика,Передний,Хэтчбек,667454,10,18725
Volkswagen,Passat,2019,128374.0,Автомат,Передний,Седан,716721,7,18339
Volkswagen,Tiguan,2021,80931.0,Автомат,Полный,Хэтчбек,921079,5,16186
BMW,3 Series,2014,306409.0,Механика,Передний,Хэтчбек,291934,12,25534
Toyota,Camry,2011,163494.0,Автомат,Полный,Хэтчбек,269509,15,10900
Kia,Sportage,2020,75352.0,Автомат,Передний,Седан,1051419,6,12559
Kia,Ceed,2014,164824.0,Робот,Передний,Хэтчбек,293439,12,13735
BMW,3 Series,2016,115187.0,Автомат,Передний,Кроссовер,850345,10,11519
BMW,X3,2022,51893.0,Автомат,Передний,Кроссовер,2154496,4,12973
Hyundai,Tucson,2019,104480.0,Автомат,Передний,Кроссовер,681191,7,14926
Kia,Sportage,2012,116283.0,Автомат,Полный,Седан,268040,14,8306
BMW,5 Series,2013,234899.0,Механика,Передний,Хэтчбек,327282,13,18069
Volkswagen,Golf,2009,176814.0,Механика,Полный,Кроссовер,268564,17,10401
Toyota,RAV4,2023,46195.0,Механика,Передний,Хэтчбек,2705696,3,15398
